Sample_ID,Genotype,Location,Rep,Population
PCH16:1208,PH37,MOBNPOB2,1,28000
PCH16:1209,PH38,MOBNPOB2,1,28000
PCH16:1210,PH39,MOBNPOB2,1,28000
PCH16:1211,PH40,MOBNPOB2,1,28000
PCH16:1212,PH41,MOBNPOB2,1,28000
PCH16:1213,PH42,MOBNPOB2,1,28000
PCH16:1214,PH43,MOBNPOB2,1,28000
PCH16:1215,PH44,MOBNPOB2,1,28000
PCH16:1216,PH37,MOBNPOB2,1,34000
PCH16:1217,PH38,MOBNPOB2,1,34000
PCH16:1218,PH39,MOBNPOB2,1,34000
PCH16:1219,PH40,MOBNPOB2,1,34000
PCH16:1220,PH41,MOBNPOB2,1,34000
PCH16:1221,PH42,MOBNPOB2,1,34000
PCH16:1222,PH43,MOBNPOB2,1,34000
PCH16:1223,PH44,MOBNPOB2,1,34000
PCH16:1224,PH37,MOBNPOB2,1,40000
PCH16:1225,PH38,MOBNPOB2,1,40000
PCH16:1226,PH39,MOBNPOB2,1,40000
PCH16:1227,PH40,MOBNPOB2,1,40000
PCH16:1228,PH41,MOBNPOB2,1,40000
PCH16:1229,PH42,MOBNPOB2,1,40000
PCH16:1230,PH43,MOBNPOB2,1,40000
PCH16:1231,PH44,MOBNPOB2,1,40000
PCH16:1232,PH37,MOBNPOB2,1,46000
PCH16:1233,PH38,MOBNPOB2,1,46000
PCH16:1234,PH39,MOBNPOB2,1,46000
PCH16:1235,PH40,MOBNPOB2,1,46000
PCH16:1236,PH41,MOBNPOB2,1,46000
PCH16:1237,PH42,MOBNPOB2,1,46000
PCH16:1238,PH43,MOBNPOB2,1,46000
PCH16:1239,PH44,MOBNPOB2,1,46000
PCH16:1240,PH37,MOBNPOB2,2,28000
PCH16:1241,PH38,MOBNPOB2,2,28000
PCH16:1242,PH39,MOBNPOB2,2,28000
PCH16:1243,PH40,MOBNPOB2,2,28000
PCH16:1244,PH41,MOBNPOB2,2,28000
PCH16:1245,PH42,MOBNPOB2,2,28000
PCH16:1246,PH43,MOBNPOB2,2,28000
PCH16:1247,PH44,MOBNPOB2,2,28000
PCH16:1248,PH37,MOBNPOB2,2,34000
PCH16:1249,PH38,MOBNPOB2,2,34000
PCH16:1250,PH39,MOBNPOB2,2,34000
PCH16:1251,PH40,MOBNPOB2,2,34000
PCH16:1252,PH41,MOBNPOB2,2,34000
PCH16:1253,PH42,MOBNPOB2,2,34000
PCH16:1254,PH43,MOBNPOB2,2,34000
PCH16:1255,PH44,MOBNPOB2,2,34000
NA,NA,MOBNPOB2,2,40000
NA,NA,MOBNPOB2,2,40000
NA,NA,MOBNPOB2,2,40000
NA,NA,MOBNPOB2,2,40000
NA,NA,MOBNPOB2,2,40000
NA,NA,MOBNPOB2,2,40000
NA,NA,MOBNPOB2,2,40000
NA,NA,MOBNPOB2,2,40000
NA,NA,MOBNPOB2,2,46000
NA,NA,MOBNPOB2,2,46000
NA,NA,MOBNPOB2,2,46000
NA,NA,MOBNPOB2,2,46000
NA,NA,MOBNPOB2,2,46000
NA,NA,MOBNPOB2,2,46000
NA,NA,MOBNPOB2,2,46000
NA,NA,MOBNPOB2,2,46000
PCH16:1146,PH37,MRSNMR27,1,28000
